OBJECTID,year,state,st_case,veh_no,a_wrongwaydrv,a_drdis,a_drdro,a_vrd,a_body,a_imp1,a_vroll,a_lic_s,a_lic_c,a_cdl_s,a_mc_l_s,a_spveh,a_sbus,a_mod_yr,a_fire_exp,a_imp2
37074,2022,36,360333,1,2,2,2,1,7,2,2,4,1,2,1,1,3,2000,1,
37075,2022,36,360334,1,2,2,2,2,1,4,2,1,1,2,4,2,3,2010,1,
37076,2022,36,360334,2,2,2,2,2,3,2,1,1,1,2,4,2,3,2017,1,
37077,2022,36,360335,1,2,2,2,1,2,2,2,1,1,2,4,2,3,2017,1,
37078,2022,36,360335,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2015,1,
37079,2022,36,360336,1,2,1,2,2,1,2,2,1,1,2,4,2,3,2012,1,
37080,2022,36,360337,1,2,2,2,1,7,2,2,4,2,2,3,1,3,2011,1,
37081,2022,36,360338,1,2,2,2,2,3,2,2,3,3,3,4,1,3,2013,1,
37082,2022,36,360338,2,2,2,2,2,1,5,2,1,1,2,4,2,3,2017,1,
37083,2022,36,360339,1,2,2,2,1,2,2,1,1,1,2,4,2,3,2016,1,
37084,2022,36,360340,1,2,2,2,2,1,2,2,2,2,2,4,1,3,2021,1,
37085,2022,36,360340,2,2,2,2,2,3,4,2,1,1,2,4,2,3,2015,1,
37086,2022,36,360341,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2021,1,
37087,2022,36,360342,1,2,2,2,1,7,2,2,4,2,2,3,2,3,2004,1,
37088,2022,36,360342,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2014,1,
37089,2022,36,360343,1,2,2,2,2,1,5,2,1,1,2,4,2,3,2007,1,
37090,2022,36,360343,2,2,2,2,2,3,2,2,2,2,2,4,2,3,2017,1,
37091,2022,36,360344,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2012,1,
37092,2022,36,360344,2,2,2,2,2,9,7,2,3,3,3,4,2,3,9999,1,
37093,2022,36,360345,1,1,2,2,2,3,2,2,1,1,2,4,2,3,2013,1,
37094,2022,36,360345,2,2,1,2,2,6,2,2,1,1,1,4,2,3,2021,1,
37095,2022,36,360346,1,2,2,2,1,3,7,1,2,2,2,4,1,3,1993,1,
37096,2022,36,360347,1,2,2,2,2,1,2,2,2,2,2,4,1,3,2006,1,
37097,2022,36,360347,2,2,2,2,2,3,5,2,1,1,2,4,2,3,2008,1,
37098,2022,36,360347,3,2,2,2,2,1,5,2,1,1,2,4,2,3,2010,1,
37099,2022,36,360347,4,2,2,2,2,3,2,2,2,2,2,4,2,3,2014,1,
37100,2022,36,360348,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2019,1,
37101,2022,36,360348,2,2,2,2,2,4,2,2,1,1,2,4,2,3,2008,1,
37102,2022,36,360349,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2017,1,
37103,2022,36,360350,1,2,1,2,2,6,2,2,1,1,2,4,2,3,2004,1,
37104,2022,36,360350,2,2,2,2,2,6,4,2,1,1,1,4,2,3,2012,1,
37105,2022,36,360351,1,2,2,2,2,1,2,2,2,2,2,4,2,3,2016,1,
37106,2022,36,360351,2,1,2,2,2,7,5,2,4,3,3,3,2,3,2014,1,
37107,2022,36,360352,1,2,2,2,2,7,1,2,4,1,2,1,2,3,2006,1,
37108,2022,36,360353,1,2,2,2,2,1,2,2,1,1,2,4,1,3,2013,1,
37109,2022,36,360354,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2021,1,
37110,2022,36,360355,1,2,2,2,2,7,2,2,4,1,2,1,1,3,2021,1,
37111,2022,36,360355,2,2,2,2,2,7,3,2,4,1,2,1,2,3,2009,1,
37112,2022,36,360356,1,2,1,2,2,7,1,2,4,1,2,1,2,3,2008,1,
37113,2022,36,360357,1,2,2,2,1,2,2,2,1,1,2,4,2,3,2021,1,
37114,2022,36,360358,1,2,2,2,1,7,3,2,4,2,2,3,2,3,2013,1,
37115,2022,36,360359,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2021,2,
37116,2022,36,360360,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2003,1,
37117,2022,36,360360,2,2,2,2,2,2,2,2,1,1,2,4,2,3,2015,1,
37118,2022,36,360361,1,2,2,2,2,1,2,2,2,2,2,4,2,3,2005,1,
37119,2022,36,360362,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2014,1,
37120,2022,36,360363,1,2,2,2,2,6,5,2,1,1,2,4,2,3,2003,1,
37121,2022,36,360363,2,2,2,2,2,6,2,2,1,1,2,4,2,3,2017,1,
37122,2022,36,360364,1,2,1,2,2,3,2,2,1,1,1,4,2,3,2008,1,
37123,2022,36,360365,1,2,1,2,1,7,7,2,4,2,2,3,1,3,2019,1,
37124,2022,36,360365,4,2,2,2,2,1,5,2,1,1,2,4,2,3,2009,1,
37125,2022,36,360366,1,2,2,2,1,1,2,2,2,2,2,4,1,3,2018,1,
37126,2022,36,360367,1,2,2,2,1,1,2,2,1,1,1,4,2,3,1997,1,
37127,2022,36,360367,2,2,2,2,2,3,2,1,1,1,2,4,2,3,2021,1,
37128,2022,36,360368,1,2,2,2,2,4,2,1,1,1,2,4,1,3,2020,1,
37129,2022,36,360368,2,2,2,2,2,3,4,2,2,2,2,4,2,3,2021,1,
37130,2022,36,360368,3,2,2,2,2,1,4,1,1,1,2,4,2,3,2016,1,
37131,2022,36,360370,1,2,2,2,1,1,2,2,2,2,2,4,1,3,2007,1,
37132,2022,36,360371,1,2,2,1,1,1,2,2,1,1,2,4,2,3,2013,1,
37133,2022,36,360371,2,2,2,2,2,4,2,2,1,1,2,4,2,3,2017,1,
37134,2022,36,360372,1,2,1,2,2,2,2,2,1,1,2,4,2,3,2021,1,
37135,2022,36,360372,2,2,2,2,2,9,4,2,1,1,2,4,2,3,2015,1,
37136,2022,36,360373,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2008,1,
37137,2022,36,360373,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2012,1,
37138,2022,36,360374,1,2,2,2,2,2,3,2,1,1,2,4,2,3,2011,1,
37139,2022,36,360374,2,2,1,2,2,7,2,2,4,1,2,1,1,3,2019,1,
37140,2022,36,360375,1,2,2,2,1,1,3,2,1,1,2,4,1,3,2019,1,
37141,2022,36,360376,1,2,2,2,1,9,2,1,1,1,2,4,1,3,2008,1,
37142,2022,36,360377,1,2,2,2,1,3,2,2,1,1,2,4,2,3,2017,1,
37143,2022,36,360377,2,2,2,2,2,8,2,2,1,1,1,4,2,3,2012,1,
37144,2022,36,360378,1,2,2,2,2,1,5,2,1,1,2,4,2,3,2019,1,
37145,2022,36,360378,2,2,2,2,2,7,2,2,4,2,2,3,1,3,2001,1,
37146,2022,36,360379,1,2,2,2,2,3,4,2,1,1,2,4,2,3,2021,1,
37147,2022,36,360379,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2019,1,
37148,2022,36,360380,1,2,2,2,2,6,4,2,1,1,1,4,2,3,2017,1,
37149,2022,36,360381,1,2,2,2,2,6,5,2,1,2,2,4,2,3,2008,1,
37150,2022,36,360381,2,2,2,2,2,7,2,2,4,2,2,2,2,3,9999,1,
37151,2022,36,360382,1,2,2,2,2,2,4,2,2,2,2,4,2,3,2012,1,
37152,2022,36,360382,2,2,2,2,2,7,3,2,4,1,2,1,2,3,2000,1,
37153,2022,36,360383,1,2,2,2,2,6,4,2,1,1,1,4,2,3,2013,1,
37154,2022,36,360383,2,2,1,2,2,1,2,2,1,1,2,4,2,3,2018,1,
37155,2022,36,360384,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2020,1,
37156,2022,36,360385,1,2,2,2,1,3,2,1,1,1,2,4,1,3,2014,1,
37157,2022,36,360386,1,2,2,2,1,1,5,1,2,2,2,4,1,3,2020,1,
37158,2022,36,360387,1,2,2,2,2,6,5,2,1,1,1,4,2,3,2000,1,
37159,2022,36,360387,2,2,2,2,2,6,2,2,1,1,2,4,2,3,2013,1,
37160,2022,36,360388,1,2,2,2,1,3,1,1,1,1,2,4,1,3,1999,1,
37161,2022,36,360389,1,2,2,2,1,4,2,2,2,2,2,4,2,3,2014,1,
37162,2022,36,360389,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2014,1,
37163,2022,36,360390,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2020,1,
37164,2022,36,360390,2,2,2,2,2,3,4,2,1,1,2,4,2,3,2007,1,
37165,2022,36,360391,1,2,1,2,1,7,3,2,4,1,2,1,2,3,1996,1,
37166,2022,36,360392,1,2,2,2,1,6,2,2,1,1,1,4,1,3,2006,2,
37167,2022,36,360393,1,2,2,2,1,3,3,1,2,2,2,4,1,3,2018,1,
37168,2022,36,360394,1,2,2,2,2,2,1,2,1,1,2,4,2,3,2018,1,
37169,2022,36,360395,1,2,2,2,1,3,2,1,1,1,2,4,2,3,2004,1,
37170,2022,36,360396,1,2,2,2,2,6,6,2,1,1,2,4,2,3,2008,1,
37171,2022,36,360398,1,2,2,2,2,1,3,2,1,1,2,4,2,3,2019,1,
37172,2022,36,360398,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2021,1,
37173,2022,36,360399,1,2,2,2,2,1,5,2,1,1,2,4,2,3,1999,1,
37174,2022,36,360399,2,2,2,2,2,7,2,2,4,1,2,1,1,3,2012,1,
37175,2022,36,360400,1,2,1,2,2,1,2,2,1,1,1,4,2,3,2012,1,
37176,2022,36,360401,1,2,1,2,1,1,2,2,1,1,2,4,1,3,2016,1,
37177,2022,36,360402,1,2,2,2,1,3,2,2,1,1,2,4,2,3,2013,1,
37178,2022,36,360402,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2009,1,
37179,2022,36,360403,1,2,2,2,2,7,2,2,4,2,2,3,1,3,2009,1,
37180,2022,36,360403,2,2,2,2,2,2,4,2,1,1,1,4,2,3,2012,1,
37181,2022,36,360404,1,2,2,2,1,1,2,1,1,1,2,4,1,3,2011,1,
37182,2022,36,360405,1,2,2,2,1,7,2,2,4,2,2,2,1,3,2022,1,
37183,2022,36,360406,1,2,2,2,2,1,2,2,2,2,2,4,2,3,2013,1,
