station_id,station_name,full_station_name,station_number,station_type,latitude,longitude,county_name,sample_count,sample_date_min,sample_date_max
46673,13S02W02D003SS,13S02W02D003SS,13S02W02D003SS,Groundwater,33.0754,-117.0659,San Diego,1,2/15/1957 16:00,2/15/1957 16:00
29879,13S02W02L001S,13S02W02L001S,13S02W02L001S,Groundwater,33.0681,-117.0616,San Diego,1,4/5/1957 0:00,4/5/1957 0:00
29880,13S02W02N001S,13S02W02N001S,13S02W02N001S,Groundwater,33.0645,-117.0659,San Diego,1,4/10/1968 0:00,4/10/1968 0:00
29881,13S02W11R001S,13S02W11R001S,13S02W11R001S,Groundwater,33.05,-117.0529,San Diego,1,8/18/1960 12:00,8/18/1960 12:00
29882,13S02W12C001S,13S02W12C001S,13S02W12C001S,Groundwater,33.0608,-117.0442,San Diego,1,4/12/1968 0:00,4/12/1968 0:00
29883,13S02W12L001S,13S02W12L001S,13S02W12L001S,Groundwater,33.0536,-117.0442,San Diego,1,7/20/1961 0:00,7/20/1961 0:00
29884,13S02W12N001S,13S02W12N001S,13S02W12N001S,Groundwater,33.05,-117.0485,San Diego,8,8/25/1954 0:00,5/20/1970 14:15
29885,13S02W12N006S,13S02W12N006S,13S02W12N006S,Groundwater,33.05,-117.0485,San Diego,1,8/18/1960 11:30,8/18/1960 11:30
29886,13S02W13C001S,13S02W13C001S,13S02W13C001S,Groundwater,33.0462,-117.0442,San Diego,1,4/12/1968 0:00,4/12/1968 0:00
29887,13S02W15R001S,13S02W15R001S,13S02W15R001S,Groundwater,33.0354,-117.0703,San Diego,1,4/11/1968 0:00,4/11/1968 0:00
29888,13S03E04L001M,13S03E04L001M,13S03E04L001M,Groundwater,36.8234,-121.6483,Monterey,11,7/18/1961 14:15,9/16/1985 0:00
29889,13S03E05P001M,13S03E05P001M,13S03E05P001M,Groundwater,36.8198,-121.6663,Monterey,1,8/27/1971 10:50,8/27/1971 10:50
29890,13S03E06G001M,13S03E06G001M,13S03E06G001M,Groundwater,36.827,-121.6797,Monterey,1,8/30/1983 0:00,8/30/1983 0:00
29891,13S03E08D001M,13S03E08D001M,13S03E08D001M,Groundwater,36.8162,-121.6708,Monterey,3,8/27/1971 11:15,10/2/1986 0:00
29892,13S03E10N001M,13S03E10N001M,13S03E10N001M,Groundwater,36.8054,-121.6347,Monterey,1,9/8/1982 0:00,9/8/1982 0:00
29893,13S03E10Q001M,13S03E10Q001M,13S03E10Q001M,Groundwater,36.8054,-121.6256,Monterey,2,8/20/1971 8:55,9/11/1981 0:00
29894,13S03E13J001S,13S03E13J001S,13S03E13J001S,Groundwater,33.039,-116.6182,San Diego,1,5/26/1964 0:00,5/26/1964 0:00
29895,13S03E13N001M,13S03E13N001M,13S03E13N001M,Groundwater,36.7911,-121.5987,Monterey,1,9/11/1981 0:00,9/11/1981 0:00
29896,13S03E16C002M,13S03E16C002M,13S03E16C002M,Groundwater,36.8019,-121.6483,Monterey,1,9/8/1982 0:00,9/8/1982 0:00
29897,13S03E16C003M,13S03E16C003M,13S03E16C003M,Groundwater,36.8019,-121.6483,Monterey,1,9/1/1983 0:00,9/1/1983 0:00
29898,13S03E16J001M,13S03E16J001M,13S03E16J001M,Groundwater,36.7947,-121.6392,Monterey,2,8/26/1971 15:15,9/18/1979 0:00
29899,13S03E16J002M,13S03E16J002M,13S03E16J002M,Groundwater,36.7947,-121.6392,Monterey,2,9/18/1979 0:00,10/2/1986 0:00
29900,13S03E17B001M,13S03E17B001M,13S03E17B001M,Groundwater,36.8019,-121.6617,Monterey,2,8/27/1971 12:50,8/30/1983 0:00
29901,13S03E17F001M,13S03E17F001M,13S03E17F001M,Groundwater,36.7983,-121.6663,Monterey,2,9/11/1981 0:00,10/2/1986 0:00
29902,13S03E17F080M,13S03E17F080M,13S03E17F080M,Groundwater,36.7983,-121.6663,Monterey,1,3/5/1970 9:45,3/5/1970 9:45
29903,13S03E19H001M,13S03E19H001M,13S03E19H001M,Groundwater,36.7839,-121.6752,Monterey,3,8/27/1971 13:05,9/10/1986 0:00
29904,13S03E19Q001M,13S03E19Q001M,13S03E19Q001M,Groundwater,36.7767,-121.6797,Monterey,2,8/17/1978 0:00,9/18/1979 0:00
29905,13S03E20B001M,13S03E20B001M,13S03E20B001M,Groundwater,36.7875,-121.6617,Monterey,2,8/26/1971 14:55,9/10/1982 0:00
29906,13S03E20B002M,13S03E20B002M,13S03E20B002M,Groundwater,36.7875,-121.6617,Monterey,8,7/12/1961 16:00,10/2/1986 0:00
29907,13S03E20P001M,13S03E20P001M,13S03E20P001M,Groundwater,36.7767,-121.6663,Monterey,2,9/11/1981 0:00,10/2/1986 0:00
29908,13S03E27D001M,13S03E27D001M,13S03E27D001M,Groundwater,36.7731,-121.6347,Monterey,2,9/11/1981 0:00,10/2/1986 0:00
29909,13S03E29A001M,13S03E29A001M,13S03E29A001M,Groundwater,36.7731,-121.6572,Monterey,12,7/12/1961 0:00,8/26/1971 14:30
29910,13S03E29N001M,13S03E29N001M,13S03E29N001M,Groundwater,36.7623,-121.6708,Monterey,1,3/4/1970 8:15,3/4/1970 8:15
29911,13S03E30H001M,13S03E30H001M,13S03E30H001M,Groundwater,36.7695,-121.6752,Monterey,1,3/5/1970 9:15,3/5/1970 9:15
29912,13S03E35N001M,13S03E35N001M,13S03E35N001M,Groundwater,36.748,-121.6167,Monterey,1,8/29/1984 0:00,8/29/1984 0:00
29913,13S03W05P001S,13S03W05P001S,13S03W05P001S,Groundwater,33.0645,-117.2181,San Diego,1,10/16/1962 16:30,10/16/1962 16:30
29914,13S03W07R001S,13S03W07R001S,13S03W07R001S,Groundwater,33.05,-117.2268,San Diego,1,10/16/1962 16:00,10/16/1962 16:00
29915,13S03W09E001S,13S03W09E001S,13S03W09E001S,Groundwater,33.0572,-117.205,San Diego,2,2/8/1963 0:00,12/19/1963 11:00
29916,13S03W16D001S,13S03W16D001S,13S03W16D001S,Groundwater,33.0462,-117.205,San Diego,1,10/18/1962 0:00,10/18/1962 0:00
29917,13S03W16H001S,13S03W16H001S,13S03W16H001S,Groundwater,33.0426,-117.192,San Diego,1,10/17/1962 0:00,10/17/1962 0:00
29918,13S03W18B001S,13S03W18B001S,13S03W18B001S,Groundwater,33.0462,-117.2311,San Diego,1,8/25/1954 0:00,8/25/1954 0:00
29919,13S03W18B002S,13S03W18B002S,13S03W18B002S,Groundwater,33.0462,-117.2311,San Diego,1,10/16/1962 15:00,10/16/1962 15:00
29920,13S03W18C001S,13S03W18C001S,13S03W18C001S,Groundwater,33.0462,-117.2355,San Diego,1,6/5/1963 0:00,6/5/1963 0:00
29921,13S03W19D001S,13S03W19D001S,13S03W19D001S,Groundwater,33.0316,-117.2398,San Diego,1,10/16/1962 0:00,10/16/1962 0:00
29922,13S03W19D002S,13S03W19D002S,13S03W19D002S,Groundwater,33.0316,-117.2398,San Diego,1,10/16/1962 0:00,10/16/1962 0:00
29923,13S03W23L001S,13S03W23L001S,13S03W23L001S,Groundwater,33.0244,-117.1659,San Diego,1,3/27/1957 0:00,3/27/1957 0:00
29924,13S03W24R001S,13S03W24R001S,13S03W24R001S,Groundwater,33.0208,-117.1398,San Diego,1,3/12/1957 0:00,3/12/1957 0:00
29925,13S03W28N001S,13S03W28N001S,13S03W28N001S,Groundwater,33.0063,-117.205,San Diego,2,3/26/1957 0:00,1/3/1962 0:00
29926,13S03W28N002S,13S03W28N002S,13S03W28N002S,Groundwater,33.0063,-117.205,San Diego,2,3/26/1965 0:00,4/10/1968 0:00
29927,13S03W28P001S,13S03W28P001S,13S03W28P001S,Groundwater,33.0063,-117.2007,San Diego,2,3/26/1957 0:00,3/29/1967 0:00
29928,13S03W32J001S,13S03W32J001S,13S03W32J001S,Groundwater,32.9953,-117.2094,San Diego,1,3/26/1957 0:00,3/26/1957 0:00
29929,13S03W32J002S,13S03W32J002S,13S03W32J002S,Groundwater,32.9953,-117.2094,San Diego,1,4/9/1968 0:00,4/9/1968 0:00
29930,13S03W32R001S,13S03W32R001S,13S03W32R001S,Groundwater,32.9917,-117.2094,San Diego,3,8/2/1955 0:00,3/28/1967 0:00
29931,13S03W33B001S,13S03W33B001S,13S03W33B001S,Groundwater,33.0025,-117.1963,San Diego,3,3/27/1957 0:00,3/28/1967 0:00
29932,13S03W33C006S,13S03W33C006S,13S03W33C006S,Groundwater,33.0025,-117.2007,San Diego,5,3/26/1957 0:00,5/24/1971 0:00
29933,13S03W33D001S,13S03W33D001S,13S03W33D001S,Groundwater,33.0025,-117.205,San Diego,2,11/15/1962 0:00,3/25/1965 0:00
29934,13S03W33E001S,13S03W33E001S,13S03W33E001S,Groundwater,32.9989,-117.205,San Diego,1,4/9/1968 0:00,4/9/1968 0:00
29935,13S03W33E002S,13S03W33E002S,13S03W33E002S,Groundwater,32.9989,-117.205,San Diego,1,3/4/1965 0:00,3/4/1965 0:00
29936,13S03W33F002S,13S03W33F002S,13S03W33F002S,Groundwater,32.9989,-117.2007,San Diego,1,3/26/1957 0:00,3/26/1957 0:00
29937,13S03W33F003S,13S03W33F003S,13S03W33F003S,Groundwater,32.9989,-117.2007,San Diego,2,1/3/1962 0:00,11/15/1962 0:00
29938,13S03W33F004S,13S03W33F004S,13S03W33F004S,Groundwater,32.9989,-117.2007,San Diego,2,3/4/1965 0:00,3/27/1967 0:00
29939,13S03W33F005S,13S03W33F005S,13S03W33F005S,Groundwater,32.9989,-117.2007,San Diego,1,3/30/1967 0:00,3/30/1967 0:00
29940,13S03W33L003S,13S03W33L003S,13S03W33L003S,Groundwater,32.9953,-117.2007,San Diego,2,11/15/1962 0:00,3/25/1965 0:00
